YEAR,DOY,HOUR,PAR,Swdown,TEMP,SoilT,RH,RAIN,WIND,PRESSURE,aCO2_AW,SWC
2009,1,0,8.17,0.16,0.73,3.16,91.55,0.00,3.56,"93,216.23",387.87,23.92
2009,1,1,8.16,0.16,0.78,3.20,91.51,0.00,3.37,"93,189.32",387.87,23.91
2009,1,2,8.17,0.16,0.52,3.23,93.24,0.00,3.01,"93,183.68",387.87,23.89
2009,1,3,8.15,0.15,0.48,3.28,92.52,0.00,3.31,"93,166.41",387.87,23.88
2009,1,4,8.21,0.16,0.34,3.30,92.93,0.00,3.23,"93,142.91",387.87,23.91
2009,1,5,8.20,0.16,0.28,3.30,93.84,0.00,2.94,"93,123.95",387.87,23.94
2009,1,6,8.18,0.16,0.10,3.28,95.37,0.00,2.98,"93,114.05",387.87,23.96
2009,1,7,8.40,0.16,0.17,3.30,95.41,0.00,3.46,"93,111.36",387.87,23.98
2009,1,8,42.10,8.77,0.24,3.33,95.16,0.00,3.31,"93,118.23",387.87,24.03
2009,1,9,146.38,38.67,0.15,3.41,96.10,0.00,3.27,"93,131.86",387.87,24.07
2009,1,10,279.60,80.41,0.34,3.55,95.54,0.00,3.16,"93,134.50",387.87,24.03
2009,1,11,388.77,106.86,0.82,3.68,94.54,0.00,3.05,"93,098.50",387.87,24.04
2009,1,12,564.33,149.63,1.25,3.80,93.84,0.00,3.15,"93,057.50",387.87,24.01
2009,1,13,547.06,141.61,1.63,3.84,91.50,0.00,3.26,"93,030.32",387.87,23.97
2009,1,14,317.28,95.05,1.48,3.88,92.09,0.00,2.96,"93,025.32",387.87,24.01
2009,1,15,134.08,43.12,1.11,3.80,94.48,0.00,2.91,"93,032.86",387.87,24.04
2009,1,16,28.52,4.53,0.82,3.66,94.28,0.00,2.74,"93,045.36",387.87,24.06
2009,1,17,8.16,0.16,0.45,3.47,93.65,0.00,2.59,"93,053.64",387.87,24.11
2009,1,18,8.15,0.16,0.19,3.35,92.91,0.00,2.92,"93,051.77",387.87,24.24
2009,1,19,8.18,0.16,-0.14,3.27,93.14,0.00,2.91,"93,051.09",387.87,24.23
2009,1,20,8.14,0.16,-0.38,3.18,94.16,0.00,2.77,"93,049.86",387.87,24.21
2009,1,21,8.20,0.16,-0.60,3.13,94.72,0.00,2.26,"93,040.45",387.87,24.17
2009,1,22,8.10,0.16,-0.71,3.06,93.68,0.00,2.44,"93,024.82",387.87,24.14
2009,1,23,8.11,0.56,-0.84,3.03,92.91,0.00,2.36,"93,009.41",387.87,24.12
2009,2,0,8.12,0.16,-0.99,2.95,92.16,0.00,2.27,"92,992.23",387.87,24.07
2009,2,1,8.10,0.16,-1.28,2.82,93.78,0.00,2.50,"92,989.73",387.87,24.11
2009,2,2,8.13,0.16,-1.32,2.76,94.68,0.00,2.56,"93,007.18",387.87,24.11
2009,2,3,8.11,0.16,-1.38,2.69,94.83,0.00,2.98,"93,008.86",387.87,24.08
2009,2,4,8.08,0.16,-1.35,2.61,94.77,0.00,2.92,"93,011.91",387.87,24.06
2009,2,5,8.10,0.16,-1.36,2.58,93.79,0.00,2.93,"93,011.68",387.87,24.05
