YEAR	DOY	HOUR	PAR	Swdown	TEMP	SoilT	RH	RAIN	WIND	PRESSURE	aCO2_AW	SWC
2009	1	11.5	107.12	27.98	0.38	3.39	93.71	0.00	3.00	93,091.81	387.87	24.04
2009	2	11.5	102.29	24.45	-1.64	2.55	92.53	0.00	2.97	93,247.56	387.87	24.08
2009	3	11.5	196.52	46.51	-2.51	1.95	85.05	0.00	2.84	93,683.77	387.87	23.90
2009	4	11.5	139.48	34.63	-1.82	2.20	83.54	0.00	2.67	93,435.41	387.87	23.81
2009	5	11.5	153.84	36.23	-1.34	2.23	87.76	0.00	3.21	93,174.95	387.87	23.81
2009	6	11.5	99.16	25.87	-0.45	2.75	90.87	0.00	3.03	93,282.28	387.87	23.79
2009	7	11.5	141.32	34.84	0.27	3.50	89.71	0.00	2.64	93,511.15	387.87	23.90
2009	8	11.5	169.16	44.38	0.50	3.52	86.08	0.00	2.68	93,442.72	387.87	23.82
2009	9	11.5	101.80	25.28	0.09	3.49	90.26	0.00	2.74	93,447.05	387.87	23.78
2009	10	11.5	160.26	40.54	-0.40	3.44	90.13	0.00	2.17	93,632.79	387.87	23.72
2009	11	11.5	179.24	44.88	-0.10	3.40	87.41	0.00	2.44	93,584.99	387.87	23.58
2009	12	11.5	176.98	42.23	-0.16	3.32	87.99	0.00	3.27	93,551.02	387.87	23.56
2009	13	11.5	183.10	40.45	0.31	3.52	90.48	0.00	2.87	93,307.16	387.87	23.58
2009	14	11.5	172.40	44.08	-0.60	3.28	89.29	0.00	2.47	93,221.54	387.87	23.59
2009	15	11.5	193.71	46.59	-1.80	2.90	92.42	0.00	2.32	93,285.77	387.87	23.50
2009	16	11.5	227.33	51.70	-1.44	2.96	87.07	0.00	2.13	93,160.05	387.87	23.41
2009	17	11.5	228.61	53.58	-0.12	3.11	86.87	0.00	3.16	93,176.72	387.87	23.58
2009	18	11.5	143.44	33.44	0.24	3.30	88.59	0.00	4.09	93,028.73	387.87	23.72
2009	19	11.5	100.40	26.62	0.26	3.47	92.15	0.00	3.35	93,074.63	387.87	24.18
