date,year_dec,doy,modisvar,meandoy,data_loess,spline,interpl,sgfiltered,modisvar_interpol
01/01/07,2007,NA,NA,NaN,0.791368111,0.730430688,0.7675,0.747573048,0.730430688
02/01/07,2007.00274,2,0.76,0.788888889,0.796162611,0.733346795,0.76,0.750254932,0.733346795
03/01/07,2007.005479,3,0.76,0.774615385,0.797879184,0.736242465,0.76,0.754110625,0.736242465
04/01/07,2007.008219,NA,NA,NaN,0.795978364,0.739103903,0.775,0.759082652,0.739103903
05/01/07,2007.010959,NA,NA,NaN,0.792207926,0.741917311,0.79,0.765442762,0.741917311
06/01/07,2007.013699,NA,NA,NaN,0.788315642,0.744668893,0.805,0.773203697,0.744668893
07/01/07,2007.016438,7,0.82,0.781,0.786049286,0.747344853,0.82,0.78218578,0.747344853
08/01/07,2007.019178,NA,NA,NaN,0.784452968,0.749931395,0.8075,0.792458096,0.749931395
09/01/07,2007.021918,NA,NA,NaN,0.781651741,0.752414722,0.795,0.799071383,0.752414722
10/01/07,2007.024658,NA,NA,NaN,0.778014787,0.754781038,0.7825,0.801175678,0.754781038
11/01/07,2007.027397,11,0.77,0.780769231,0.773911291,0.757016546,0.77,0.797958164,0.757016546
12/01/07,2007.030137,NA,NA,NaN,0.769710437,0.759107451,0.775,0.788496115,0.759107451
13/01/07,2007.032877,NA,NA,NaN,0.765781407,0.761039956,0.78,0.78042736,0.761039956
14/01/07,2007.035616,NA,NA,NaN,0.762493387,0.762800264,0.785,0.774362047,0.762800264
15/01/07,2007.038356,15,0.79,0.758461538,0.760215558,0.76437458,0.79,0.770208952,0.76437458
16/01/07,2007.041096,NA,NA,NaN,0.757957118,0.765749106,0.775,0.768793121,0.765749106
17/01/07,2007.043836,NA,NA,NaN,0.755010469,0.766910047,0.76,0.7666698,0.766910047
18/01/07,2007.046575,NA,NA,NaN,0.752169601,0.767843607,0.745,0.763918549,0.767843607
19/01/07,2007.049315,19,0.73,0.7425,0.750228509,0.768535988,0.73,0.760680423,0.768535988
20/01/07,2007.052055,NA,NA,NaN,0.749079245,0.768977572,0.7175,0.757010918,0.768977572
21/01/07,2007.054795,NA,NA,NaN,0.748062883,0.769175441,0.705,0.753366158,0.769175441
22/01/07,2007.057534,NA,NA,NaN,0.747146939,0.769140857,0.6925,0.749867607,0.769140857
23/01/07,2007.060274,23,0.68,0.781428571,0.746298933,0.768885079,0.68,0.747300958,0.768885079
24/01/07,2007.063014,NA,NA,NaN,0.745486381,0.768419369,0.715,0.745645541,0.768419369
25/01/07,2007.065753,NA,NA,NaN,0.744676802,0.767754986,0.75,0.744398457,0.767754986
26/01/07,2007.068493,NA,NA,NaN,0.743837713,0.766903191,0.785,0.74345693,0.766903191
27/01/07,2007.071233,27,0.82,0.745714286,0.742936633,0.765875243,0.82,0.744849713,0.765875243
28/01/07,2007.073973,NA,NA,NaN,0.742557146,0.764682405,0.805,0.748031212,0.764682405
29/01/07,2007.076712,NA,NA,NaN,0.743126801,0.763335935,0.79,0.752717615,0.763335935
30/01/07,2007.079452,NA,NA,NaN,0.744379057,0.761847094,0.775,0.758931912,0.761847094
31/01/07,2007.082192,31,0.76,0.765333333,0.746047377,0.760227143,0.76,0.761659834,0.760227143
01/02/07,2007.084932,NA,NA,NaN,0.747865221,0.758487342,0.7525,0.761543523,0.758487342
02/02/07,2007.087671,NA,NA,NaN,0.749566051,0.756638951,0.745,0.759209269,0.756638951
03/02/07,2007.090411,NA,NA,NaN,0.750883327,0.754693231,0.7375,0.754376147,0.754693231
04/02/07,2007.093151,35,0.73,0.778,0.751550511,0.752661441,0.73,0.750203968,0.752661441
05/02/07,2007.09589,NA,NA,NaN,0.753845727,0.750554843,0.72,0.746531348,0.750554843
06/02/07,2007.09863,NA,NA,NaN,0.758361536,0.748384697,0.71,0.743198034,0.748384697
07/02/07,2007.10137,NA,NA,NaN,0.76230305,0.746162262,0.7,0.740612132,0.746162262
08/02/07,2007.10411,39,0.69,0.782,0.762875385,0.7438988,0.69,0.738054769,0.7438988
09/02/07,2007.106849,NA,NA,NaN,0.759993657,0.741605571,0.7075,0.735616832,0.741605571
10/02/07,2007.109589,NA,NA,NaN,0.755695023,0.739293834,0.725,0.733388638,0.739293834
11/02/07,2007.112329,NA,NA,NaN,0.750367654,0.736974852,0.7425,0.730811683,0.736974852
12/02/07,2007.115068,43,0.76,0.786153846,0.744399724,0.734659883,0.76,0.727855104,0.734659883
13/02/07,2007.117808,NA,NA,NaN,0.738179402,0.732360188,0.775,0.724482944,0.732360188
14/02/07,2007.120548,NA,NA,NaN,0.732094863,0.730087027,0.79,0.720654148,0.730087027
15/02/07,2007.123288,NA,NA,NaN,0.726534276,0.727851661,0.805,0.716403599,0.727851661
16/02/07,2007.126027,47,0.82,0.769285714,0.721885815,0.725665351,0.82,0.711894833,0.725665351
17/02/07,2007.128767,NA,NA,NaN,0.716972092,0.723539356,0.81,0.70704546,0.723539356
18/02/07,2007.131507,NA,NA,NaN,0.710713863,0.721484937,0.8,0.701770255,0.721484937
19/02/07,2007.134247,NA,NA,NaN,0.703646519,0.719513354,0.79,0.697520782,0.719513354
20/02/07,2007.136986,51,0.78,0.759333333,0.696305449,0.717635868,0.78,0.694224898,0.717635868
21/02/07,2007.139726,NA,NA,NaN,0.689226043,0.715863739,0.69,0.692140252,0.715863739
22/02/07,2007.142466,NA,NA,NaN,0.68294369,0.714208227,0.6,0.691530159,0.714208227
23/02/07,2007.145205,NA,NA,NaN,0.67799378,0.712680592,0.51,0.691042945,0.712680592
24/02/07,2007.147945,55,0.42,0.705384615,0.674911703,0.711292096,0.42,0.691319056,0.711292096
25/02/07,2007.150685,NA,NA,NaN,0.673170818,0.710051079,0.505,0.692188611,0.710051079
26/02/07,2007.153425,NA,NA,NaN,0.671891898,0.708954209,0.59,0.693481732,0.708954209
27/02/07,2007.156164,NA,NA,NaN,0.671081454,0.707995233,0.675,0.695271637,0.707995233
28/02/07,2007.158904,59,0.76,0.764615385,0.670745995,0.707167899,0.76,0.697078303,0.707167899
01/03/07,2007.161644,NA,NA,NaN,0.670892033,0.706465956,0.7425,0.69885256,0.706465956
02/03/07,2007.164384,NA,NA,NaN,0.671526078,0.705883151,0.725,0.700543916,0.705883151
03/03/07,2007.167123,NA,NA,NaN,0.67265464,0.705413232,0.7075,0.702019525,0.705413232
04/03/07,2007.169863,63,0.69,0.715,0.67428423,0.705049947,0.69,0.703211247,0.705049947
05/03/07,2007.172603,NA,NA,NaN,0.67736388,0.704787045,0.6975,0.704049054,0.704787045
06/03/07,2007.175342,NA,NA,NaN,0.682550842,0.704618273,0.705,0.70446103,0.704618273
07/03/07,2007.178082,NA,NA,NaN,0.689413954,0.704537379,0.7125,0.705264729,0.704537379
08/03/07,2007.180822,NA,NA,NaN,0.697522055,0.704538111,0.72,0.706549525,0.704538111
09/03/07,2007.183562,NA,NA,NaN,0.706443986,0.704614217,0.7275,0.708409137,0.704614217
10/03/07,2007.186301,NA,NA,NaN,0.715748584,0.704759445,0.735,0.710941622,0.704759445
11/03/07,2007.189041,NA,NA,NaN,0.725004689,0.704967544,0.7425,0.714168347,0.704967544
12/03/07,2007.191781,71,0.75,0.684,0.733781141,0.705232261,0.75,0.718735985,0.705232261
13/03/07,2007.194521,NA,NA,NaN,0.741646778,0.705547343,0.75,0.724624435,0.705547343
14/03/07,2007.19726,NA,NA,NaN,0.748170439,0.70590654,0.75,0.731822087,0.70590654
15/03/07,2007.2,NA,NA,NaN,0.752920964,0.706303599,0.75,0.739515504,0.706303599
16/03/07,2007.20274,75,0.75,0.704285714,0.755467192,0.706732268,0.75,0.746661004,0.706732268
17/03/07,2007.205479,NA,NA,NaN,0.757352066,0.707186294,0.76,0.753304029,0.707186294
18/03/07,2007.208219,NA,NA,NaN,0.759778605,0.707659427,0.77,0.759485209,0.707659427
19/03/07,2007.210959,NA,NA,NaN,0.761805761,0.708145414,0.78,0.762647323,0.708145414
20/03/07,2007.213699,79,0.79,0.675833333,0.762492485,0.708638003,0.79,0.762341182,0.708638003
21/03/07,2007.216438,NA,NA,NaN,0.761489233,0.709130941,0.775,0.758094662,0.709130941
22/03/07,2007.219178,NA,NA,NaN,0.75919083,0.709617978,0.76,0.749412708,0.709617978
23/03/07,2007.221918,NA,NA,NaN,0.755772777,0.71009286,0.745,0.741449599,0.71009286
24/03/07,2007.224658,83,0.73,0.617272727,0.751410574,0.710549337,0.73,0.735147682,0.710549337
25/03/07,2007.227397,NA,NA,NaN,0.746279722,0.710981155,0.728333333,0.730942981,0.710981155
26/03/07,2007.230137,NA,NA,NaN,0.740555722,0.711382063,0.726666667,0.729291905,0.711382063
27/03/07,2007.232877,NA,NA,NaN,0.734414074,0.711745809,0.725,0.727348921,0.711745809
28/03/07,2007.235616,NA,NA,NaN,0.728030279,0.712066141,0.723333333,0.724596405,0.712066141
29/03/07,2007.238356,NA,NA,NaN,0.721579838,0.712336806,0.721666667,0.720996701,0.712336806
30/03/07,2007.241096,NA,NA,NaN,0.715238251,0.712551554,0.72,0.716505923,0.712551554
31/03/07,2007.243836,NA,NA,NaN,0.709181019,0.712704131,0.718333333,0.711884282,0.712704131
01/04/07,2007.246575,NA,NA,NaN,0.703583643,0.712788286,0.716666667,0.707514062,0.712788286
02/04/07,2007.249315,NA,NA,NaN,0.698621624,0.712797766,0.715,0.703428296,0.712797766
03/04/07,2007.252055,NA,NA,NaN,0.694470462,0.71272632,0.713333333,0.699661902,0.71272632
04/04/07,2007.254795,NA,NA,NaN,0.691305658,0.712567696,0.711666667,0.696251689,0.712567696
05/04/07,2007.257534,95,0.71,0.667692308,0.689302712,0.712315642,0.71,0.693236351,0.712315642
06/04/07,2007.260274,NA,NA,NaN,0.688143195,0.711963905,0.6875,0.69065647,0.711963905
07/04/07,2007.263014,NA,NA,NaN,0.687363821,0.711506234,0.665,0.688554516,0.711506234
08/04/07,2007.265753,NA,NA,NaN,0.68692281,0.710936377,0.6425,0.686731749,0.710936377
