siteid,fluxnetid,countryid,land_unit,status,latitude,longitude,year_began,koeppen_climate,gtopo30_elevation,igbp_land_use,
9,AR-Lac,Argentina,South America,Active,-29.264,-61.028,2004,Cfa - Warm temperate fully humid with hot summer,53,Croplands,
12,AT-Lan,Austria,Europe,Inactive,47.061221,10.963454,2005,ET - Polar tundra,1396,Evergreen Needleleaf Forest,
13,AT-Leu,Austria,Europe,Inactive,47.378036,11.16278,2005,Dfc - Snow fully humid cool summer,1133,Grasslands,
14,AT-Neu,Austria,Europe,Active,47.1166687,11.31750011,2002,Dfc - Snow fully humid cool summer,1095,Mixed Forests,
15,AT-Sch,Austria,Europe,Inactive,47.387291,11.247935,2005,Dfc - Snow fully humid cool summer,586,Cropland/Natural Vegetation Mosaic,
17,AU-Cas,Australia,Australia/Oceania,Active,-19.56666667,147.4,2000,Aw - Equatorial savannah with dry winter,5,Urban and Built-Up,
29,AU-Ctr,Australia,Australia/Oceania,Active,-16.10328,145.446858,2012,Am - Equatorial monsoon,66,Evergreen Broadleaf Forest,
30,AU-DaP,Australia,Australia/Oceania,Active,-14.0633,131.3181,2008,Aw - Equatorial savannah with dry winter,102,Savannas,
31,AU-DaS,Australia,Australia/Oceania,Active,-14.159283,131.388,2007,Aw - Equatorial savannah with dry winter,98,Savannas,
34,AU-Fac,Australia,Australia/Oceania,Inactive,-36.86686667,147.3457667,2006,Cfb - Warm temperate fully humid with warm summer,1473,Closed Shrublands,
35,AU-Fog,Australia,Australia/Oceania,Active,-12.5452,131.3072,2006,Aw - Equatorial savannah with dry winter,25,Savannas,
37,AU-How,Australia,Australia/Oceania,Active,-12.4952,131.15005,2001,Aw - Equatorial savannah with dry winter,41,Savannas,
38,AU-Jan,Australia,Australia/Oceania,Inactive,-30.07666667,144.1363889,2000,BWh - Arid desert hot,87,Open Shrublands,
40,AU-Meb,Australia,Australia/Oceania,Active,-37.730564,145.014675,2003,Cfb - Warm temperate fully humid with warm summer,107,Urban and Built-Up,
41,AU-Otw,Australia,Australia/Oceania,Active,-38.53234444,142.8168056,2007,Cfb - Warm temperate fully humid with warm summer,6,Croplands,
43,AU-Tum,Australia,Australia/Oceania,Active,-35.6566,148.1516,2001,Cfb - Warm temperate fully humid with warm summer,932,Evergreen Broadleaf Forest,
45,AU-Vir,Australia,Australia/Oceania,Inactive,-19.88333333,146.5538889,2001,Aw - Equatorial savannah with dry winter,305,Savannas,
46,AU-Wac,Australia,Australia/Oceania,Inactive,-37.429,145.18725,2005,Cfb - Warm temperate fully humid with warm summer,562,Evergreen Broadleaf Forest,
47,BE-Bra,Belgium,Europe,Active,51.30916667,4.520555556,1996,Cfb - Warm temperate fully humid with warm summer,15,Mixed Forests,
48,BE-Jal,Belgium,Europe,Active,50.56388889,6.073333333,2006,Cfb - Warm temperate fully humid with warm summer,496,Mixed Forests,
49,BE-Lon,Belgium,Europe,Active,50.551586,4.7461305,2004,Cfb - Warm temperate fully humid with warm summer,165,Croplands,
51,BE-Vie,Belgium,Europe,Active,50.305068,5.998052,1996,Cfb - Warm temperate fully humid with warm summer,491,Mixed Forests,
56,BR-Afs,Brazil,South America,Active,-23.32847222,-45.09311111,2006,Cfb - Warm temperate fully humid with warm summer,975,Evergreen Broadleaf Forest,
58,BR-Ban,Brazil,South America,Active,-9.824416667,-50.15911111,2003,Aw - Equatorial savannah with dry winter,163,Evergreen Broadleaf Forest,
