Site,use
AR-SLu,
AR-Vir,
AT-Neu,
AU-Ade,
AU-ASM,
AU-Cpr,
AU-Cum,
AU-DaP,1
AU-DaS,
AU-Dry,
AU-Emr,1
AU-Fog,
AU-Gin,
AU-GWW,
AU-How,
AU-Lox,
AU-RDF,
AU-Rig,
AU-Rob,
AU-Stp,
AU-TTE,
AU-Tum,1
AU-Wac,
AU-Whr,
AU-Wom,
AU-Ync,
BE-Bra,1
BE-Lon,
BE-Vie,
BR-Sa3,
CA-Man,
CA-NS1,
CA-NS2,
CA-NS3,
CA-NS4,
CA-NS5,
CA-NS6,
CA-NS7,
CA-Qfo,1
CA-SF1,
CA-SF2,
CA-SF3,
CH-Cha,
CH-Dav,
CH-Fru,
CH-Lae,1
CH-Oe1,
CH-Oe2,
CN-Cha,
CN-Cng,
CN-Dan,
CN-Din,
CN-Du2,
CN-Ha2,
CN-HaM,
CN-Qia,
CN-Sw2,
CZ-BK1,
CZ-BK2,
CZ-wet,
DE-Akm,
DE-Geb,
DE-Gri,
DE-Hai,1
DE-Kli,
DE-Lkb,
DE-Obe,
DE-RuR,
DE-RuS,
DE-Seh,
DE-SfN,
DE-Spw,
DE-Tha,
DK-Fou,
DK-NuF,
DK-Sor,1
DK-ZaF,
DK-ZaH,
ES-LgS,
ES-Ln2,
FI-Hyy,
FI-Jok,
FI-Lom,
FI-Sod,
FR-Fon,
FR-Gri,
FR-LBr,1
FR-Pue,1
GF-Guy,1
IT-BCi,
IT-CA1,
IT-CA2,
IT-CA3,
IT-Col,
IT-Cp2,
IT-Cpz,
IT-Isp,
IT-La2,
IT-Lav,
IT-MBo,
IT-Noe,1
IT-PT1,
IT-Ren,
IT-Ro1,
IT-Ro2,
IT-SR2,
IT-SRo,1
IT-Tor,
JP-MBF,
JP-SMF,
NL-Hor,
NL-Loo,1
NO-Adv,
NO-Blv,
RU-Che,
RU-Cok,
RU-Fyo,1
RU-Ha1,
SD-Dem,
SN-Dhr,
US-AR1,
US-AR2,
US-ARb,
US-ARc,
US-ARM,
US-Blo,
US-Cop,
US-GBT,
US-GLE,
US-Ha1,1
US-KS2,
US-Los,
US-Me1,
US-Me2,1
US-Me6,
US-MMS,1
US-Myb,
US-Ne1,
US-Ne2,
US-Ne3,
US-NR1,
US-ORv,
US-PFa,
US-Prr,
US-SRG,
US-SRM,
US-Syv,
US-Ton,
US-Tw1,
US-Tw2,
US-Tw3,
US-Tw4,
US-Twt,1
US-UMB,
US-UMd,
US-Var,1
US-WCr,1
US-Whs,
US-Wi0,
US-Wi3,
US-Wi4,
US-Wi6,
US-Wi9,
US-Wkg,1
ZA-Kru,
ZM-Mon,
